GHCN_DIN;DATE;PRCP;SNOW;TMAX;TMIN;NAME;COORD;ELEVATION;COUNTRY_CODE
USW00094290;2015-05-20;0.0;0.0;24.4;11.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-05-22;0.0;0.0;17.8;12.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-05;0.0;0.0;25.6;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-06;0.0;0.0;27.8;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-11;0.0;0.0;24.4;11.1;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-12;0.0;0.0;21.7;12.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-16;0.0;0.0;22.2;12.2;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-06-21;0.0;0.0;25.6;13.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-07-17;0.0;0.0;26.7;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-01;0.0;0.0;31.7;15.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-04;0.0;0.0;25.0;15.6;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-07;0.0;0.0;26.7;13.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-10;0.0;0.0;27.8;16.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-11;0.0;0.0;28.9;16.7;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-18;0.0;0.0;28.9;14.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-20;0.0;0.0;23.3;15.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-08-21;0.0;0.0;22.8;13.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-09-21;0.0;0.0;19.4;10.0;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-05;0.0;0.0;23.3;8.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-06;0.0;0.0;18.3;9.4;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-10;251.0;0.0;20.0;13.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-21;0.0;0.0;16.7;7.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-24;5.0;0.0;15.6;8.9;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-25;81.0;0.0;21.1;8.3;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
USW00094290;2015-10-29;5.0;0.0;15.6;12.8;SEATTLE SAND PT WSFO;47.6872,122.2553;18.3;US
